tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_declination_correction	sample_dip	sample_height	sample_lithology	sample_type
This study	unknown	Z88.6	Z88	SO-CMD-NORTH	26.3	38.0	227.4		0.0	-87.0	11.5		
This study	unknown	Z88.7	Z88	SO-CMD-NORTH	-63.9	38.0	227.4		0.0	-45.0	11.6		
This study	unknown	Z88.8	Z88	SO-CMD-NORTH	28.5	38.0	227.4		0.0	-24.0	11.4		
This study	unknown	Z89.1	Z89	SO-CMD-NORTH	-54.7	38.0	227.4		0.0	-26.0	15.1		
This study	unknown	Z89.2	Z89	SO-CMD-NORTH	-59.5	38.0	227.4		0.0	-26.0	15.2		
This study	unknown	Z89.3	Z89	SO-CMD-NORTH	43.2	38.0	227.4		0.0	-45.0	16.1		
This study	unknown	Z89.4	Z89	SO-CMD-NORTH	47.9	38.0	227.4		0.0	-44.0	16.1		
This study	unknown	Z89.5	Z89	SO-CMD-NORTH	23.0	38.0	227.4		0.0	-38.0	15.8		
This study	unknown	Z89.6	Z89	SO-CMD-NORTH	30.6	38.0	227.4		0.0	-37.0	15.8		
This study	unknown	Z89.7	Z89	SO-CMD-NORTH	-57.0	38.0	227.4		0.0	-31.0	15.4		
This study	unknown	Z89.8	Z89	SO-CMD-NORTH	230.6	38.0	227.4		0.0	-67.0	16.8		
This study	unknown	Z90.1	Z90	SO-CMD-NORTH	71.3	38.0	227.4		0.0	-24.0	22.5		
This study	unknown	Z90.2	Z90	SO-CMD-NORTH	61.6	38.0	227.4		0.0	-63.0	23		
This study	unknown	Z90.3	Z90	SO-CMD-NORTH	54.2	38.0	227.4		0.0	-32.0	22.6		
This study	unknown	Z90.4	Z90	SO-CMD-NORTH	47.5	38.0	227.4		0.0	-36.0	22.6		
This study	unknown	Z90.5	Z90	SO-CMD-NORTH	52.2	38.0	227.4		0.0	-30.0	22.6		
This study	unknown	Z90.6	Z90	SO-CMD-NORTH	46.5	38.0	227.4		0.0	-32.0	22.8		
This study	unknown	Z90.7	Z90	SO-CMD-NORTH	53.8	38.0	227.4		0.0	-32.0	22.8		
This study	unknown	Z90.8	Z90	SO-CMD-NORTH	64.4	38.0	227.4		0.0	-26.0	22.8		
This study	unknown	Z91.1	Z91	SO-CMD-NORTH	20.9	38.0	227.4		0.0	-17.0	27.5		
This study	unknown	Z91.2	Z91	SO-CMD-NORTH	54.5	38.0	227.4		0.0	-31.0	27.6		
This study	unknown	Z91.3	Z91	SO-CMD-NORTH	29.0	38.0	227.4		0.0	-23.0	27.7		
This study	unknown	Z91.4	Z91	SO-CMD-NORTH	64.6	38.0	227.4		0.0	-31.0	28.1		
This study	unknown	Z91.5	Z91	SO-CMD-NORTH	64.3	38.0	227.4		0.0	-35.0	29.1		
This study	unknown	Z91.6	Z91	SO-CMD-NORTH	39.8	38.0	227.4		0.0	-82.0	29.4		
This study	unknown	Z91.7	Z91	SO-CMD-NORTH	75.4	38.0	227.4		0.0	-65.0	29		
This study	unknown	Z91.8	Z91	SO-CMD-NORTH	35.7	38.0	227.4		0.0	-42.0	29.5		
This study	unknown	Z92.1	Z92	SO-CMD-NORTH	19.3	38.0	227.4		0.0	-32.0	36.9		
This study	unknown	Z92.2	Z92	SO-CMD-NORTH	0.8	38.0	227.4		0.0	-30.0	36.7		
This study	unknown	Z92.3	Z92	SO-CMD-NORTH	7.0	38.0	227.4		0.0	-27.0	37		
This study	unknown	Z92.4	Z92	SO-CMD-NORTH	3.3	38.0	227.4		0.0	-36.0	37		
This study	unknown	Z92.5	Z92	SO-CMD-NORTH	-17.0	38.0	227.4		0.0	-33.0	37.9		
This study	unknown	Z92.6	Z92	SO-CMD-NORTH	-7.5	38.0	227.4		0.0	-28.0	38		
This study	unknown	Z92.7	Z92	SO-CMD-NORTH	-14.3	38.0	227.4		0.0	-30.0	38.1		
This study	unknown	Z92.8	Z92	SO-CMD-NORTH	-0.8	38.0	227.4		0.0	-35.0	37.9		
This study	unknown	Z93.1	Z93	SO-CMD-NORTH	12.2	38.0	227.4		0.0	-33.0	45.1		
This study	unknown	Z93.2	Z93	SO-CMD-NORTH	13.6	38.0	227.4		0.0	-35.0	45.1		
This study	unknown	Z93.3	Z93	SO-CMD-NORTH	16.1	38.0	227.4		0.0	-35.0	45.1		
This study	unknown	Z93.4	Z93	SO-CMD-NORTH	15.3	38.0	227.4		0.0	-34.0	45.1		
This study	unknown	Z93.5	Z93	SO-CMD-NORTH	15.5	38.0	227.4		0.0	-31.0	45.1		
This study	unknown	Z93.6	Z93	SO-CMD-NORTH	-0.8	38.0	227.4		0.0	-37.0	45.3		
This study	unknown	Z93.7	Z93	SO-CMD-NORTH	-4.1	38.0	227.4		0.0	-21.0	46		
This study	unknown	Z93.8	Z93	SO-CMD-NORTH	1.1	38.0	227.4		0.0	-30.0	46.3		
This study	unknown	Z94.1	Z94	SO-CMD-NORTH	24.0	38.0	227.4		0.0	-46.0	45.1		
This study	unknown	Z94.2	Z94	SO-CMD-NORTH	17.6	38.0	227.4		0.0	-37.0	45.1		
This study	unknown	Z94.3	Z94	SO-CMD-NORTH	40.1	38.0	227.4		0.0	-25.0	45.1		
This study	unknown	Z94.4	Z94	SO-CMD-NORTH	9.5	38.0	227.4		0.0	-23.0	45.1		
This study	unknown	Z94.5	Z94	SO-CMD-NORTH	15.1	38.0	227.4		0.0	-36.0	45.1		
This study	unknown	Z94.6	Z94	SO-CMD-NORTH	-6.8	38.0	227.4		0.0	-49.0	45.3		
This study	unknown	Z94.7	Z94	SO-CMD-NORTH	-4.2	38.0	227.4		0.0	-57.0	46		
This study	unknown	Z94.8	Z94	SO-CMD-NORTH	-21.6	38.0	227.4		0.0	-54.0	46.3		
This study	unknown	Z95.1	Z95	SO-CMD-NORTH	44.4	38.0	227.4		0.0	-40.0	56.8		
This study	unknown	Z95.2	Z95	SO-CMD-NORTH	36.4	38.0	227.4		0.0	-37.0	56.8		
This study	unknown	Z95.3	Z95	SO-CMD-NORTH	11.4	38.0	227.4		0.0	-34.0	57.1		
This study	unknown	Z95.4	Z95	SO-CMD-NORTH	19.4	38.0	227.4		0.0	-39.0	57.1		
This study	unknown	Z95.5	Z95	SO-CMD-NORTH	33.4	38.0	227.4		0.0	-46.0	57		
This study	unknown	Z95.6	Z95	SO-CMD-NORTH	39.4	38.0	227.4		0.0	-35.0	57.1		
This study	unknown	Z95.7	Z95	SO-CMD-NORTH	28.4	38.0	227.4		0.0	-35.0	57.3		
This study	unknown	Z95.8	Z95	SO-CMD-NORTH	8.4	38.0	227.4		0.0	-35.0	57.4		
