tab 	pmag_sites
er_analyst_mail_names	er_citation_names	er_location_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	site_alpha95	site_comp_name	site_dec	site_description	site_direction_type	site_inc	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
	This study	unknown	Z74	Z74.4a:Z74.5a:Z74.6a:Z74.7a:Z74.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:DE-BFL-A:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	15.1	HEM	16.1	Site direction included in results table		-44.7	9.9827e+02	9.9827e+02	Years Cal BP	27	5	5	0		4.8506	100
	This study	unknown	Z76	Z76.1a:Z76.2a:Z76.3a:Z76.4a:Z76.5a:Z76.6a:Z76.7a:Z76.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	9.1	LOW	355.8	Site direction included in results table		62.8	9.9827e+02	9.9827e+02	Years Cal BP	38	8	8	0		7.8172	0
	This study	unknown	Z76	Z76.1a:Z76.2a:Z76.3a:Z76.4a:Z76.5a:Z76.6a:Z76.7a:Z76.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	11.1	MAG	248.1	Site direction included in results table		-75.3	9.9827e+02	9.9827e+02	Years Cal BP	26	8	8	0		7.7277	0
	This study	unknown	Z76	Z76.1a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	pmagpy-3.4.1	ACCEPT		MID	272.2	Site direction included in results table	l	-54.1	9.9827e+02	9.9827e+02	Years Cal BP		1	1	0			0
	This study	unknown	Z76	Z76.1a:Z76.2a:Z76.7a	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	9.1	HEM	288.6	Site direction included in results table		-67.4	9.9827e+02	9.9827e+02	Years Cal BP	186	3	3	0		2.9893	0
	This study	unknown	Z76	Z76.1a:Z76.2a:Z76.3a:Z76.4a:Z76.5a:Z76.6a:Z76.7a:Z76.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	9.1	LOW	267.6	Site direction included in results table		64.2	9.9827e+02	9.9827e+02	Years Cal BP	38	8	8	0		7.8169	100
	This study	unknown	Z76	Z76.1a:Z76.2a:Z76.3a:Z76.4a:Z76.5a:Z76.6a:Z76.7a:Z76.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	11.1	MAG	24.4	Site direction included in results table		-64.0	9.9827e+02	9.9827e+02	Years Cal BP	26	8	8	0		7.7280	100
	This study	unknown	Z76	Z76.1a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT		MID	335.3	Site direction included in results table	l	-59.3	9.9827e+02	9.9827e+02	Years Cal BP		1	1	0			100
	This study	unknown	Z76	Z76.1a:Z76.2a:Z76.7a	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	9.1	HEM	2.3	Site direction included in results table		-54.4	9.9827e+02	9.9827e+02	Years Cal BP	186	3	3	0		2.9893	100
	This study	unknown	Z77	Z77.1a:Z77.2a:Z77.3a:Z77.4a:Z77.5a:Z77.6a:Z77.7a:Z77.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	6.3	LOW	29.7	Site direction included in results table		68.7	9.9827e+02	9.9827e+02	Years Cal BP	79	8	8	0		7.9117	0
	This study	unknown	Z77	Z77.1a:Z77.2a:Z77.3a:Z77.4a:Z77.5a:Z77.6a:Z77.7a:Z77.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	3.6	MAG	32.2	Site direction included in results table		27.8	9.9827e+02	9.9827e+02	Years Cal BP	236	8	8	0		7.9703	0
	This study	unknown	Z77	Z77.1a:Z77.2a:Z77.3a:Z77.4a:Z77.5a:Z77.6a:Z77.7a:Z77.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	5.0	MID	323.4	Site direction included in results table		-82.8	9.9827e+02	9.9827e+02	Years Cal BP	125	8	8	0		7.9438	0
	This study	unknown	Z77	Z77.1a:Z77.2a:Z77.3a:Z77.4a:Z77.5a:Z77.6a:Z77.7a:Z77.8a	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	21.3	HEM	316.7	Site direction included in results table		-33.0	9.9827e+02	9.9827e+02	Years Cal BP	8	8	8	0		7.0939	0
